name,srid,active,hof,positions,start,end,letter
Ned Maloney,MaloNe20,FALSE,FALSE,E,1948,1949,M
Red Maloney,MaloRe20,FALSE,FALSE,E,1925,1929,M
Cameron Malveaux,MalvCa00,TRUE,FALSE,DE,2017,2017,M
Mike Mamula,MamuMi20,FALSE,FALSE,DE-LB,1995,2000,M
Ryan Manalac,ManaRy20,FALSE,FALSE,LB,2009,2009,M
Massimo Manca,mancamas01,FALSE,FALSE,K,1987,1987,M
Vaughn Mancha,MancVa20,FALSE,FALSE,C-LB,1948,1948,M
Greg Mancz,MancGr00,TRUE,FALSE,C,2015,2017,M
Tony Mandarich,MandTo20,FALSE,FALSE,T-G,1989,1998,M
Mike Mandarino,MandMi20,FALSE,FALSE,T-C-G,1944,1945,M
Dave Manders,MandDa00,FALSE,FALSE,C,1964,1974,M
Jack Manders,MandJa20,FALSE,FALSE,HB-FB,1933,1940,M
Pug Manders,MandPu20,FALSE,FALSE,FB-HB,1939,1947,M
Chris Mandeville,MandCh20,FALSE,FALSE,DB,1987,1989,M
Jim Mandich,MandJi00,FALSE,FALSE,TE,1970,1978,M
Pete Mandley,MandPe00,FALSE,FALSE,WR,1984,1990,M
Steve Maneri,ManeSt00,FALSE,FALSE,T,2011,2014,M
James Maness,ManeJa20,FALSE,FALSE,WR,1985,1985,M
Tony Manfreda,ManfTo20,FALSE,FALSE,HB,1930,1930,M
Mark Manges,MangMa20,FALSE,FALSE,QB,1978,1978,M
Dino Mangiero,MangDi20,FALSE,FALSE,NT-DE,1980,1987,M
Nick Mangold,MangNi20,FALSE,FALSE,C,2006,2016,M
John Mangum,MangJo20,FALSE,FALSE,DT,1966,1967,M
John Mangum,MangJo21,FALSE,FALSE,DB,1990,1998,M
Kris Mangum,MangKr00,FALSE,FALSE,TE,1997,2006,M
Pete Mangum,MangPe20,FALSE,FALSE,LB,1954,1960,M
Chris Manhertz,ManhCh00,TRUE,FALSE,TE,2014,2017,M
Joe Maniaci,ManiJo20,FALSE,FALSE,B,1936,1941,M
Jason Maniecki,ManiJa20,FALSE,FALSE,DT,1996,1998,M
Jimmy Manion,ManiJi20,FALSE,FALSE,G,1926,1927,M
Carl Mankat,MankCa20,FALSE,FALSE,E-T-G,1928,1929,M
Jim Mankins,MankJi00,FALSE,FALSE,RB,1967,1967,M
Logan Mankins,MankLo20,FALSE,FALSE,G,2005,2015,M
Dexter Manley,ManlDe00,FALSE,FALSE,DE,1981,1991,M
Jack Manley,ManlJa20,FALSE,FALSE,LB-C,1953,1953,M
James Manley,ManlJa21,FALSE,FALSE,DT,1996,1996,M
Phillipkeith Manley,ManlPh00,FALSE,FALSE,G,2012,2012,M
Willie Manley,ManlWi20,FALSE,FALSE,T-G,1950,1951,M
Bob Mann,MannBo00,FALSE,FALSE,E,1948,1954,M
Charles Mann,MannCh00,FALSE,FALSE,DE,1983,1994,M
Dave Mann,MannDa20,FALSE,FALSE,HB-E,1955,1957,M
Errol Mann,MannEr20,FALSE,FALSE,K,1968,1978,M
Maurice Mann,MannMa00,FALSE,FALSE,WR,2006,2006,M
Patrick Mannelly,MannPa20,FALSE,FALSE,T,1998,2013,M
Aaron Manning,MannAa20,FALSE,FALSE,DB,1987,1987,M
Archie Manning,MannAr00,FALSE,FALSE,QB,1971,1984,M
Brian Manning,MannBr00,FALSE,FALSE,WR,1997,1998,M
Danieal Manning,MannDa21,FALSE,FALSE,DB,2006,2014,M
Eli Manning,MannEl00,TRUE,FALSE,QB,2004,2017,M
Jim Manning,MannJi20,FALSE,FALSE,TB-HB,1926,1926,M
Pete Manning,MannPe20,FALSE,FALSE,DB,1960,1961,M
Peyton Manning,MannPe00,FALSE,FALSE,QB,1998,2015,M
Ricky Manning,MannRi20,FALSE,FALSE,DB,2003,2008,M
Rosie Manning,MannRo20,FALSE,FALSE,DT,1972,1975,M
Roy Manning,MannRo21,FALSE,FALSE,LB,2005,2007,M
Terrell Manning,MannTe00,FALSE,FALSE,OLB,2012,2014,M
Wade Manning,MannWa20,FALSE,FALSE,WR-DB,1979,1982,M
Mario Manningham,MannMa01,FALSE,FALSE,WR,2008,2014,M
Sean Mannion,MannSe00,TRUE,FALSE,QB,2015,2017,M
Tim Manoa,ManoTi00,FALSE,FALSE,RB,1987,1991,M
Brison Manor,ManoBr20,FALSE,FALSE,DE,1977,1984,M
Sam Manos,ManoSa20,FALSE,FALSE,C,1987,1987,M
Don Manoukian,ManoDo20,FALSE,FALSE,G,1960,1960,M
Jerry Mansfield,MansJe20,FALSE,FALSE,FB-E-HB,1920,1921,M
Ray Mansfield,MansRa20,FALSE,FALSE,C-DT-LB,1963,1976,M
Von Mansfield,MansVo20,FALSE,FALSE,DB,1982,1987,M
